iter	AUC	Logloss	AUC
0	0.9110374757	0.6182185929	0.9110374757
1	0.9282199121	0.5524306582	0.9282199121
2	0.9287831418	0.4959679585	0.9287831418
3	0.9292954685	0.4477538695	0.9292954685
4	0.9292513487	0.4065038915	0.9292513487
5	0.9294579846	0.3712809832	0.9294579846
6	0.9295498856	0.341334813	0.9295498856
7	0.9295189597	0.3156682725	0.9295189597
8	0.9293354037	0.2935173785	0.9293354037
9	0.9293170821	0.2744599218	0.9293170821
10	0.9293144982	0.2581036853	0.9293144982
11	0.9293934364	0.2439938993	0.9293934364
12	0.9293515468	0.2317783663	0.9293515468
13	0.9293584815	0.2212091534	0.9293584815
14	0.9293532322	0.212129636	0.9293532322
15	0.9293324441	0.204224934	0.9293324441
16	0.9293697412	0.1972551505	0.9293697412
17	0.929365043	0.1912787511	0.929365043
18	0.9295101606	0.1860118753	0.9295101606
19	0.9295349868	0.1814206939	0.9295349868
20	0.929521549	0.1773607643	0.929521549
21	0.9295433939	0.1737308895	0.9295433939
22	0.9323752051	0.1704931947	0.9323752051
23	0.9338809447	0.1671696319	0.9338809447
24	0.9383082562	0.1642522174	0.9383082562
25	0.9386662652	0.1616784187	0.9386662652
26	0.938822015	0.1595399915	0.938822015
27	0.9391912272	0.1574945672	0.9391912272
28	0.9391147516	0.1556133067	0.9391147516
29	0.9392173112	0.1540057815	0.9392173112
30	0.9393920524	0.1525564784	0.9393920524
31	0.9394338764	0.1512673466	0.9394338764
32	0.9395643081	0.150060585	0.9395643081
33	0.9395818156	0.1490258824	0.9395818156
34	0.9396306856	0.1481025341	0.9396306856
35	0.9396557245	0.1472892265	0.9396557245
36	0.9397050889	0.1465304775	0.9397050889
37	0.9397622099	0.1458516682	0.9397622099
38	0.941017287	0.145186513	0.941017287
39	0.9410097488	0.1446136026	0.9410097488
40	0.9410538773	0.14411172	0.9410538773
41	0.9410897768	0.1436600556	0.9410897768
42	0.9410936591	0.1432547924	0.9410936591
43	0.9411166069	0.1428735751	0.9411166069
44	0.9411915918	0.1425110305	0.9411915918
45	0.9412129214	0.1422074286	0.9412129214
46	0.9414489337	0.1418350366	0.9414489337
47	0.9414531398	0.1416051741	0.9414531398
48	0.9414355804	0.1413680011	0.9414355804
49	0.9414457605	0.1411562679	0.9414457605
50	0.9416008139	0.1408690206	0.9416008139
51	0.941650077	0.1406647241	0.941650077
52	0.9416731333	0.1404860158	0.9416731333
53	0.9416868503	0.1403407303	0.9416868503
