iter	Passed	Remaining
0	7488	1490154
1	14764	1461688
2	22110	1451943
3	29068	1424377
4	36199	1411790
5	43155	1395366
6	49950	1377213
7	56914	1365942
8	63852	1355087
9	70959	1348221
10	78210	1343804
11	85329	1336829
12	92181	1325993
13	99394	1320533
14	106577	1314461
15	113480	1305029
16	120668	1298964
17	127648	1290664
18	134387	1280218
19	141510	1273590
20	148435	1265238
21	155577	1258765
22	162617	1251447
23	169843	1245518
24	177021	1239150
25	184275	1233228
26	191780	1228818
27	198982	1222320
28	206365	1216842
29	213609	1210455
30	220806	1203751
31	227719	1195524
32	235134	1189923
33	242386	1183417
34	249264	1175102
35	256399	1168040
36	264102	1163477
37	271645	1158067
38	279007	1151801
39	286079	1144317
40	293524	1138302
41	300740	1131357
42	308184	1125231
43	315907	1120036
44	323099	1112896
45	330353	1105965
46	337747	1099475
47	345095	1092800
48	352522	1086344
49	360324	1080973
50	367667	1074167
51	375066	1067496
52	382106	1059806
53	389791	1053881
54	396849	1046239
55	403890	1038574
56	411264	1031769
57	418313	1024147
58	425350	1016514
59	432557	1009301
60	439952	1002513
61	447369	995757
62	454928	989289
63	462302	982392
64	470139	976443
65	477563	969599
66	485214	963187
67	492843	956696
68	500266	949781
69	507778	943018
70	515471	936561
71	522672	929194
72	530189	922384
73	537870	915833
74	545609	909348
75	554437	904608
76	566097	904285
77	577864	903839
78	589981	903641
79	601871	902807
80	609557	895523
81	616870	887692
82	624116	879778
83	631504	872077
84	639089	864650
85	646770	857347
86	654703	850361
87	662030	842583
88	669299	834744
89	676573	826923
90	683986	819280
91	691443	811694
92	698688	803867
93	705948	796069
94	713218	788293
95	720505	780547
96	727735	772750
97	735505	765525
98	743074	758085
99	750707	750707
100	758002	742992
101	765630	735605
102	772890	727867
103	780150	720139
104	787876	712841
105	795354	705314
106	803081	698005
107	810360	690307
108	818067	682973
109	825540	675442
110	833093	667975
111	840411	660323
112	848029	652907
113	855321	645242
114	862620	637588
115	870121	630087
116	877399	622428
117	884706	614796
118	891982	607147
119	899580	599720
120	907002	592175
121	914614	584753
122	922324	577389
123	930285	570174
124	938009	562805
125	945634	555372
126	953082	547834
127	960932	540524
128	968187	532878
129	975423	525228
130	983109	517821
131	990581	510299
132	998416	502961
133	1006213	495597
134	1013880	488164
135	1021479	480696
136	1029057	473216
137	1036358	465610
138	1044017	458166
139	1051307	450560
140	1058703	443003
141	1066384	435565
142	1074026	428108
143	1081719	420668
144	1089565	413283
145	1096963	405726
146	1104524	398229
147	1112143	390752
148	1119957	383341
149	1127381	375793
150	1135017	368317
151	1142500	360789
152	1150289	353356
153	1158166	345945
154	1165505	338372
155	1172881	330812
156	1180714	323380
157	1188532	315939
158	1196279	308474
159	1203707	300926
160	1211489	293466
161	1218865	285906
162	1226658	278444
163	1234442	270975
164	1242502	263561
165	1249942	256012
166	1257697	248527
167	1265468	241041
168	1273126	233532
169	1280528	225975
170	1287941	218422
171	1295353	210871
172	1303077	203370
173	1310855	195874
174	1318591	188370
175	1326254	180852
176	1333930	173335
177	1341540	165808
178	1349029	158266
179	1356981	150775
180	1364854	143271
181	1372677	135759
182	1380780	128269
183	1388664	120753
184	1396475	113227
185	1403947	105673
186	1411741	98142
187	1419782	90624
188	1427566	83085
189	1435238	75538
190	1443381	68012
191	1451374	60473
192	1459046	52918
193	1466862	45366
194	1474628	37810
195	1482763	30260
196	1490629	22699
197	1498241	15133
198	1506089	7568
199	1513898	0
